date,day_of_week,week_number,month,is_holiday,is_festival,festival_weight,festival_name,absent_percent
1-Jan-25,3,1,1,0,1,1,New Year,14.29
2-Jan-25,4,1,1,0,0,0,,11.62
3-Jan-25,5,1,1,0,0,0,,9.75
4-Jan-25,6,1,1,0,0,0,,11.29
5-Jan-25,0,2,1,1,0,0,Sunday,90.83
6-Jan-25,1,2,1,0,0,0,,11.3
7-Jan-25,2,2,1,0,0,0,,10.08
8-Jan-25,3,2,1,0,0,0,,10.83
9-Jan-25,4,2,1,0,0,0,,6.5
10-Jan-25,5,2,1,0,0,0,,8.24
11-Jan-25,6,2,1,0,0,0,,9.07
12-Jan-25,0,3,1,0,0,0,,8.65
13-Jan-25,1,3,1,0,0,0,,12.62
14-Jan-25,2,3,1,1,1,1,Makar Sankranti,91.53
15-Jan-25,3,3,1,1,0,0,off day,93.11
16-Jan-25,4,3,1,0,0,0,,13.28
17-Jan-25,5,3,1,0,0,0,,10.43
18-Jan-25,6,3,1,0,0,0,,13.01
19-Jan-25,0,4,1,1,0,0,Sunday,93.95
20-Jan-25,1,4,1,0,0,0,,12.47
21-Jan-25,2,4,1,0,0,0,,11.41
22-Jan-25,3,4,1,0,0,0,,11.92
23-Jan-25,4,4,1,0,0,0,,8.94
24-Jan-25,5,4,1,0,0,0,,11.1
25-Jan-25,6,4,1,0,0,0,,9.15
26-Jan-25,0,5,1,1,0,0,Sunday,92.49
27-Jan-25,1,5,1,0,0,0,,10.34
28-Jan-25,2,5,1,0,0,0,,10.52
29-Jan-25,3,5,1,0,0,0,,10.7
30-Jan-25,4,5,1,0,0,0,,10
31-Jan-25,5,5,1,0,0,0,,11
1-Feb-25,6,5,2,0,0,0,,15.72
2-Feb-25,0,6,2,1,0,0,Sunday,96.08
3-Feb-25,1,6,2,0,0,0,,15.1
4-Feb-25,2,6,2,0,0,0,,14.29
5-Feb-25,3,6,2,0,0,0,,14.62
6-Feb-25,4,6,2,0,0,0,,12.89
7-Feb-25,5,6,2,0,0,0,,13.46
8-Feb-25,6,6,2,0,0,0,,12.7
9-Feb-25,0,7,2,1,0,0,Sunday,97.01
10-Feb-25,1,7,2,0,0,0,,12.49
11-Feb-25,2,7,2,0,0,0,,14.1
12-Feb-25,3,7,2,0,0,0,,14.84
13-Feb-25,4,7,2,0,0,0,,12.28
14-Feb-25,5,7,2,0,0,0,,12.23
15-Feb-25,6,7,2,0,0,0,,14.41
16-Feb-25,0,8,2,1,0,0,Sunday,96.16
17-Feb-25,1,8,2,0,0,0,,12.9
18-Feb-25,2,8,2,0,0,0,,12.54
19-Feb-25,3,8,2,0,0,0,,11.61
20-Feb-25,4,8,2,0,0,0,,11.02
21-Feb-25,5,8,2,0,0,0,,13.12
22-Feb-25,6,8,2,0,0,0,,15.11
23-Feb-25,0,9,2,1,0,0,Sunday,92
24-Feb-25,1,9,2,0,0,0,,15.66
25-Feb-25,2,9,2,0,0,0,,14.66
26-Feb-25,3,9,2,0,0,0,,14.88
27-Feb-25,4,9,2,0,0,0,,13
28-Feb-25,5,9,2,0,0,0,,15
1-Mar-25,6,9,3,1,0,0,,97.01
2-Mar-25,0,10,3,0,0,0,,15.88
3-Mar-25,1,10,3,0,0,0,,14.64
4-Mar-25,2,10,3,0,0,0,,12.59
5-Mar-25,3,10,3,0,0,0,,14.39
6-Mar-25,4,10,3,0,0,0,,11.84
7-Mar-25,5,10,3,0,0,0,,12.32
8-Mar-25,6,10,3,0,0,0,,12.02
9-Mar-25,0,11,3,1,0,0,Sunday,92.66
10-Mar-25,1,11,3,0,0,0,,15.58
11-Mar-25,2,11,3,0,0,0,,15.03
12-Mar-25,3,11,3,0,0,0,,16.1
13-Mar-25,4,11,3,1,1,1,Holi,93.11
14-Mar-25,5,11,3,1,1,1,Dhuleti,98.21
15-Mar-25,6,11,3,1,0,0,off day,89.61
